"Unit Name","Description"
"g/capita/day","grams per capita per day"
"kcal/capita/day","kilocalorie per capita per day"
"(LCU/1000 kcal)","local currency units per 1000 kilocalories"
"LCU/person/day","local currency units per person per day"
"%","percent"
